"Agency","APT PIN","Award Method","Contract ID","Contract Type","Current Amount","Document Code","End Date","Industry","Original Amount","Original Modified","Parent Contract ID","PIN","Prime Vendor","Prime M/WBE Category","Purpose","Received Date","Start Date","OCA Number","Version","Woman Owned Business","Emerging Business"
"Department of Education","","ASSIGNMENT","CTR04020209050492","PROGRAM","82659700.08","CT1","2020-06-30","Human Services","29344474.24","Modified","","04020N139001N139A002","FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC","Non-M/WBE","UPK-BTF","2026-06-09","2019-07-01","1018416583","94","No ","No "
"Department of Education","","ASSIGNMENT","CTR04020209050552","PROGRAM","56662216.32","CT1","2020-06-30","Human Services","16488619.52","Modified","","04020N141001N141A004","LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK INC","Non-M/WBE","UPK-BTF","2026-06-08","2019-07-01","1018621625","195","No ","No "
"Department of Education","B335804","RENEWAL OF CONTRACT","MAR04020259576096","REQUIREMENT CONTRACT-BOE","28513201.00","MA1","2026-01-31","Standardized Services","13604263.00","Modified","MA104020209079055","B3358","DIA GENERAL CONSTRUCTION  INC.","Asian American","AC8 N. MANHATTAN, AC9 S. MANHATTAN JOC GENERAL CONSTRUCTION","2026-06-17","2025-02-01","1018640005","1","No ","No "
"Department of Education","B576211","COMPETITIVE BID","MA104020269676810","REQUIREMENT CONTRACT-BOE","21148056.00","MA1","2029-04-30","Goods","21148056.00","Original","","B5762","IMPERIAL BAG & PAPER CO LLC","Non-M/WBE","COMPOSTABLE FOODSERVICE PRODUCTS","2026-06-15","2026-05-01","1018639716","0","No ","No "
"Department of Education","B449102","RENEWAL OF CONTRACT","MAR04020259574747","REQUIREMENT CONTRACT-BOE","18006720.20","MA1","2025-03-31","Goods","5639383.85","Modified","MA104020229275885","B4491","TEK EXPRESS INC","Non-M/WBE","REPAIR OF CAFETERIA AND KITCHEN EQUIPMENT","2026-06-16","2024-04-01","1018415638","2","No ","No "
"Department of Education","B312303","RENEWAL OF CONTRACT","MAR04020259574745","REQUIREMENT CONTRACT-BOE","9979531.26","MA1","2025-03-31","Standardized Services","2555477.74","Modified","MA104020199979487","B3123","TEK EXPRESS INC","Non-M/WBE","REPAIR OF CAFETERIA AND KITCHEN EQUIPMENT","2026-06-16","2024-04-01","1018576943","2","No ","No "
"Department of Education","","DISCRETIONARY FUNDS","CT104020268807464","PROGRAM","8437500.00","CT1","2027-06-30","Human Services","8437500.00","Original","","04024L0107001","UNITED WAY OF NEW YORK CITY","Non-M/WBE","FY25-FY27 DISCRETIONARY AWARD TO SUPPORT THE EEAP PROGRAM","2026-06-12","2024-07-01","1018608352","0","No ","No "
"Department of Education","B312205","RENEWAL OF CONTRACT","MAR04020249478325","REQUIREMENT CONTRACT-BOE","5998931.75","MA1","2025-03-31","Goods","2193140.00","Modified","MA104020199979486","B3122","DELUXE DELIVERY SYSTEMS INC","Asian American","PICK UP AND DELIVERY OF MEALS","2026-06-02","2024-04-01","1018646619","2","No ","No "
"Department of Education","","RENEWAL OF CONTRACT","CT104020269659771","PROGRAM","3400380.00","CT1","2026-06-30","Human Services","3400380.00","Original","","HSR2026","MID-BRONX CCRP EARLY CHILDHOOD CENTER INC","Non-M/WBE","UPK-HST","2026-06-02","2025-07-01","1018648894","0","No ","No "
"Department of Education","","RFP/PREQUALIFIED LIST","CTR04020229250356","PROGRAM","3188758.00","CT1","2026-06-30","Human Services","2633780.00","Modified","","R1267","MY LITTLE FOOTPRINTS DAYCARE CORP","Non-M/WBE","UPK-BTF","2026-06-05","2021-07-01","1018654477","54","No ","No "
"Department of Education","","RFP/PREQUALIFIED LIST","CTR04020229250355","PROGRAM","2925686.00","CT1","2026-06-30","Human Services","2633780.00","Modified","","R1267","MY LITTLE FOOTPRINTS DAYCARE CORP","Non-M/WBE","UPK-BTF","2026-06-12","2021-07-01","1018666395","46","No ","No "
"Department of Education","","RFP/PREQUALIFIED LIST","CTR04020229260541","PROGRAM","2833120.00","CT1","2026-06-30","Human Services","2573920.00","Modified","","R1344","MAPLE TREE DAYCARE CORP","Non-M/WBE","UPK-CIN","2026-06-11","2021-07-01","1018659440","42","No ","No "
"Department of Education","","RFP/PREQUALIFIED LIST","CTR04020229259610","PROGRAM","1947615.00","CT1","2026-06-30","Human Services","1549650.00","Modified","","R1267","ALWAYZ 1 2 3  EARLY LEARNING CENTER INC","Non-M/WBE","UPK-BTF","2026-06-16","2021-07-01","1018668988","42","No ","No "
"Department of Education","","RFP/PREQUALIFIED LIST","CTR04020229257304","PROGRAM","1759805.00","CT1","2026-06-30","Human Services","1597400.00","Modified","","R1267","JOHNSON'S ACADEMY LLC","Non-M/WBE","UPK-BTF","2026-06-15","2021-07-01","1018666870","37","No ","No "
"Department of Education","","RENEWAL OF CONTRACT","CT104020269659772","PROGRAM","1698219.00","CT1","2026-06-30","Human Services","1698219.00","Original","","HSR2026","MID-BRONX CCRP EARLY CHILDHOOD CENTER INC","Non-M/WBE","UPK-HST","2026-06-02","2025-07-01","1018649230","0","No ","No "
"Department of Education","","NEGOTIATED ACQUISITION","CT104020269659830","PROGRAM","1243250.00","CT1","2026-06-30","Human Services","1243250.00","Original","","NS000","ALL MY CHILDREN DAYCARE AND NURSERY SCHOOL","Non-M/WBE","3-K FOR ALL SERVICES","2026-06-10","2024-11-01","1018659020","0","No ","No "
"Department of Education","1146005","RENEWAL OF CONTRACT","MAR04020229275991","REQUIREMENT CONTRACT-BOE","599189.19","MA1","2022-08-31","Human Services","248000.00","Modified","MA104020219177555","R1146","SALVEO HEALTHCARE SOLUTIONS, INC.","Women (Non-Minority)","RELATED SERVICES FOR SPECIAL EDUCATION.","2026-06-03","2021-09-01","1018649826","4","Yes","No "
"Department of Education","","M/WBE SMALL PURCHASE","CTR04020259558716","CONSULTANT","455000.00","CT1","2026-07-14","Professional Services","455000.00","Modified","","R1706","VISIONARYZ INC","Black American","IT SUPPORT SERVICES - (1) SOFTWARE ARCHITECT","2026-06-09","2024-07-15","1018654147","2","No ","No "
"Department of Education","","NEGOTIATED ACQUISITION","CT104020279750530","PROGRAM","443232.00","CT1","2026-06-30","Human Services","443232.00","Original","","NS000","LA PENINSULA COMMUNITY ORGANIZATION INC","Non-M/WBE","UPK-CTL","2026-06-16","2025-07-01","1018666842","0","No ","No "
"Department of Education","","M/WBE SMALL PURCHASE","CTR04020259559031","PROGRAM","327600.00","CT1","2027-05-04","Professional Services","327600.00","Modified","","R1784","VISIONARYZ INC","Black American","IT SUPPORT SERVICES - (1) CONTENT STRATEGIST","2026-06-09","2025-05-05","1018657611","2","No ","No "
"Department of Education","","RENEWAL OF CONTRACT","CT104020269659770","PROGRAM","268568.00","CT1","2026-06-30","Human Services","268568.00","Original","","HSR2026","MID-BRONX CCRP EARLY CHILDHOOD CENTER INC","Non-M/WBE","UPK-HST","2026-06-02","2025-07-01","1018648709","0","No ","No "
"Department of Education","QR891ED","RFP/PREQUALIFIED LIST","MA104020269676811","REQUIREMENT CONTRACT-BOE","150000.00","MA1","2031-03-31","Professional Services","150000.00","Original","","R1129G","ARTISTS SPACE INC","Non-M/WBE","ARTS EDUCATION SERVICES","2026-05-26","2026-04-01","1018640632","0","No ","No "
"Department of Education","QR256BG","RFP/PREQUALIFIED LIST","MA104020269676795","REQUIREMENT CONTRACT-BOE","150000.00","MA1","2031-04-30","Standardized Services","150000.00","Original","","R1256","THE WRITING REVOLUTION INC","Non-M/WBE","LITERACY PROFESSIONAL DEVELOPMENT AND COACHING SERVICES","2026-06-01","2026-05-01","1018636741","0","No ","No "
"Department of Education","","RENEWAL OF CONTRACT","CT104020268808330","PROGRAM","120000.00","CT1","2024-06-30","Human Services","120000.00","Original","","04022L1215001R002","ELITE LEARNERS INC","Non-M/WBE","FY24 DISCRETIONARY SUPPORT FOR THE CRISIS MANAGEMENT SYSTEM","2026-06-09","2023-07-01","1018655784","0","No ","No "
"Department of Education","","DISCRETIONARY FUNDS","CT104020268807328","PROGRAM","112500.00","CT1","2027-06-30","Human Services","112500.00","Original","","04024L0069001","ST. NICKS ALLIANCE CORP.","Non-M/WBE","FY25-26 DISCRETIONARY FOR COLLEGE AND CAREER READINESS","2026-06-09","2024-07-01","1018595599","0","No ","No "
"Department of Education","","SMALL PURCHASE GOOD AND SERVICES TO $100K","CT104020269659575","REQUIREMENT CONTRACT-BOE","96000.00","CT1","2026-06-12","Human Services","96000.00","Original","","R1882","DIGITAL AGE LEARNING INC","Women (Non-Minority)","AFTER SCHOOL PROGRAM ALLOCATION","2026-06-09","2026-01-26","1018608118","0","Yes","No "
"Department of Education","R185801","DEPT OF EDUCATION LISTING APPLICATIONS ONLY","MA104020269676825","REQUIREMENT CONTRACT-BOE","75000.00","MA1","2029-05-31","Goods","75000.00","Original","","R1858","ITUTOR COM INC","Non-M/WBE","ENTIRE LINE OF ITUTOR.COM DBA FULLMIND DIGITAL PRODUCTS","2026-06-11","2026-06-01","1018649138","0","No ","No "
"Department of Education","","RENEWAL OF CONTRACT","MA104020278801167","REQUIREMENT CONTRACT-BOE","25000.00","MA1","2026-08-31","Human Services","25000.00","Original","MA104020268804970","04021B0003016R002","GOTHAM PER DIEM INC","Non-M/WBE","THE OFFICE OF RELATED SERVICES SEEKS TO RELEASE A REQUEST FO","2026-06-18","2025-09-01","1018672457","0","No ","No "